"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akaadian","Dignitas","Jungle",6,"0%","67%",6,19,16,1.2,"62.9%","17.1%","27.1%","17%",-20,194,5.5,6,"18.6%",257,"18.4%","18.7%",0.48,0.4
"Allorim","Immortals","Top",9,"33%","44%",14,32,43,1.8,"67.1%","16.5%","29.4%","22%",-239,75,-3.9,7.6,"24.3%",357,"19.0%","22.1%",0.5,0.22
"Altec","Immortals","ADC",4,"0%","25%",4,15,2,0.4,"33.3%","22.2%","21.1%","0%",89,267,2,9.2,"31.4%",356,"22.8%","27.4%",0.42,0.2
"aphromoo","Dignitas","Support",12,"25%","58%",4,26,67,2.7,"74.7%","4.2%","20.8%","25%",-20,68,-2.1,0.9,"2.5%",103,"7.0%","7.8%",1.39,0.38
"Apollo","Immortals","ADC",9,"33%","67%",19,16,43,3.9,"72.9%","22.4%","14.7%","22%",-97,-134,-5.4,8.6,"27.5%",461,"25.2%","24.7%",0.51,0.36
"Bang","Evil Geniuses","ADC",13,"54%","31%",34,18,52,4.8,"59.3%","23.4%","11.5%","23%",-59,-93,-4.4,9.5,"31.2%",605,"32.0%","25.6%",0.58,0.3
"Biofrost","Team SoloMid","Support",10,"60%","50%",4,30,78,2.7,"65.1%","3.2%","26.3%","10%",-84,-34,1.1,1.1,"3.3%",140,"8.1%","8.8%",1.6,0.32
"Bjergsen","Team SoloMid","Middle",12,"58%","17%",41,19,60,5.3,"73.2%","29.7%","14.2%","17%",68,32,0.4,8.7,"26.4%",481,"28.5%","25.2%",0.3,0.18
"Blaber","Cloud9","Jungle",12,"83%","50%",52,30,84,4.5,"75.6%","28.9%","31.9%","50%",365,331,9.2,6.6,"19.4%",319,"16.6%","20.3%",0.37,0.4
"Broken Blade","Team SoloMid","Top",12,"58%","50%",16,25,56,2.9,"52.2%","11.6%","18.7%","33%",-28,-218,-4,7.5,"24.7%",379,"21.0%","21.0%",0.52,0.13
"Broxah","Team Liquid","Jungle",13,"77%","31%",20,18,78,5.4,"67.6%","13.8%","16.8%","38%",-107,-134,-3.5,5.5,"15.6%",174,"9.9%","16.5%",0.41,0.29
"Closer","Golden Guardians","Jungle",12,"50%","50%",36,28,55,3.3,"74.6%","29.5%","20.1%","50%",47,264,7.8,6.2,"17.8%",260,"13.4%","19.1%",0.36,0.38
"Cody Sun","100 Thieves","ADC",13,"38%","31%",37,22,64,4.6,"66.0%","24.2%","14.1%","0%",-31,32,3.5,9,"27.9%",504,"25.2%","25.3%",0.35,0.25
"Contractz","100 Thieves","Jungle",7,"57%","86%",26,15,49,5,"76.5%","26.5%","23.1%","71%",339,288,2.1,5.8,"15.6%",467,"21.9%","19.0%",0.47,0.33
"CoreJJ","Team Liquid","Support",13,"77%","77%",7,19,101,5.7,"74.5%","4.8%","17.8%","38%",101,61,0.8,1.1,"3.1%",126,"7.2%","9.2%",1.79,0.49
"Damonte","Golden Guardians","Middle",12,"50%","58%",21,26,65,3.3,"70.5%","17.2%","18.7%","25%",-60,-39,-1.8,8.6,"24.6%",421,"21.9%","23.3%",0.36,0.23
"Dardoch","Dignitas","Jungle",6,"50%","50%",12,12,32,3.7,"73.3%","20.0%","21.8%","50%",72,-169,-7.5,5.5,"15.4%",269,"16.0%","17.8%",0.51,0.3
"Deus","Counter Logic Gaming","Top",2,"50%","0%",8,7,11,2.7,"79.2%","33.3%","25.9%","0%",-670,-359,-12.5,7.3,"24.0%",476,"19.7%","22.9%",0.41,0.05
"Doublelift","Team SoloMid","ADC",12,"58%","58%",51,24,40,3.8,"65.9%","37.0%","17.9%","8%",12,121,5.7,9.8,"31.6%",523,"29.8%","28.2%",0.42,0.37
"Eika","Immortals","Middle",4,"0%","50%",7,13,6,1,"72.2%","38.9%","18.3%","25%",-68,14,4,8.8,"27.9%",438,"27.8%","27.0%",0.51,0.2
"FBI","Golden Guardians","ADC",12,"50%","67%",40,21,51,4.3,"74.6%","32.8%","15.1%","25%",177,74,8.9,9.7,"30.2%",613,"31.1%","27.0%",0.42,0.32
"Fenix","Dignitas","Middle",6,"50%","67%",15,12,28,3.6,"71.7%","25.0%","21.8%","33%",241,246,4.7,8.5,"24.5%",438,"29.1%","23.7%",0.28,0.18
"Froggen","Dignitas","Middle",6,"0%","33%",6,10,19,2.5,"71.4%","17.1%","14.3%","50%",-76,-216,-1.3,8.6,"25.0%",374,"27.0%","24.8%",0.47,0.11
"Gate","Immortals","Support",4,"0%","75%",2,17,9,0.6,"61.1%","11.1%","23.9%","25%",13,-278,-1.8,0.9,"2.6%",109,"7.0%","7.4%",1.5,0.27
"Goldenglue","Evil Geniuses","Middle",3,"67%","67%",9,9,15,2.7,"64.9%","24.3%","29.0%","33%",-416,-305,-3,8.3,"25.0%",449,"23.2%","23.3%",0.56,0.3
"Hakuho","Immortals","Support",9,"33%","44%",2,17,59,3.6,"71.8%","2.4%","15.6%","33%",102,6,-0.1,1.1,"2.9%",144,"8.2%","8.5%",1.51,0.47
"Hauntzer","Golden Guardians","Top",12,"50%","75%",18,30,51,2.3,"56.6%","14.8%","21.6%","8%",-7,-9,4.2,8.4,"25.2%",493,"25.3%","22.7%",0.5,0.25
"huhi","Golden Guardians","Support",12,"50%","25%",7,34,83,2.6,"73.8%","5.7%","24.5%","33%",-26,26,0.6,0.9,"2.2%",155,"8.3%","7.9%",1.58,0.33
"Huni","Evil Geniuses","Top",3,"67%","33%",8,5,18,5.2,"70.3%","21.6%","16.1%","33%",-34,-311,-8.7,7.8,"26.4%",590,"30.6%","23.9%",0.35,0.27
"IgNar","FlyQuest","Support",13,"54%","69%",9,26,115,4.8,"70.9%","5.1%","19.1%","38%",45,-116,-0.5,1.2,"3.6%",161,"9.1%","8.8%",1.64,0.55
"Impact","Team Liquid","Top",13,"77%","46%",28,37,56,2.3,"57.9%","19.3%","34.6%","8%",76,-11,-1.2,7.6,"22.0%",404,"24.2%","20.3%",0.5,0.14
"Insanity","Immortals","Middle",9,"33%","67%",31,19,29,3.2,"70.6%","36.5%","17.4%","11%",-212,-214,-2.6,8.7,"26.6%",605,"32.6%","26.2%",0.51,0.19
"Jensen","Team Liquid","Middle",13,"77%","38%",41,17,63,6.1,"71.7%","28.3%","15.9%","15%",298,357,7.8,9.4,"28.2%",488,"27.6%","26.3%",0.4,0.22
"Jiizuke","Evil Geniuses","Middle",10,"50%","70%",36,27,37,2.7,"67.6%","33.3%","21.4%","30%",35,-106,-5,9.3,"28.0%",492,"24.5%","27.2%",0.44,0.14
"Johnsun","Dignitas","ADC",12,"25%","33%",36,21,31,3.2,"70.5%","37.9%","16.8%","25%",85,1,0.4,9.8,"32.4%",466,"31.1%","28.9%",0.51,0.28
"Kumo","Evil Geniuses","Top",10,"50%","50%",29,33,38,2,"62.0%","26.9%","26.2%","30%",196,96,5.9,7.6,"22.4%",352,"19.0%","22.1%",0.47,0.16
"Licorice","Cloud9","Top",12,"83%","50%",34,26,70,4,"57.8%","18.9%","27.7%","42%",153,39,8.6,8.2,"24.6%",504,"26.4%","22.7%",0.38,0.24
"Lourlo","Dignitas","Top",6,"33%","17%",9,8,29,4.8,"64.4%","15.3%","13.3%","33%",-63,175,-8.7,7.7,"23.7%",254,"16.2%","20.4%",0.45,0.11
"MasH","FlyQuest","ADC",8,"50%","50%",34,16,44,4.9,"63.9%","27.9%","17.2%","25%",-45,-38,-5,8.2,"26.4%",471,"25.0%","23.3%",0.46,0.34
"Meteos","100 Thieves","Jungle",6,"17%","67%",6,24,30,1.5,"65.5%","10.9%","26.4%","33%",-84,-72,0.2,5.4,"13.8%",219,"12.5%","16.7%",0.25,0.33
"Nisqy","Cloud9","Middle",12,"83%","42%",33,15,102,9,"75.0%","18.3%","16.0%","50%",141,-10,-0.9,8.1,"22.9%",433,"23.0%","21.6%",0.44,0.17
"Pobelter","Counter Logic Gaming","Middle",13,"38%","46%",39,42,63,2.4,"72.3%","27.7%","24.7%","15%",-66,-47,3.4,9.3,"28.2%",530,"28.1%","26.5%",0.43,0.19
"Poome","100 Thieves","Support",7,"57%","14%",2,16,62,4,"65.3%","2.0%","24.6%","0%",-44,-19,1.9,1.1,"2.8%",143,"6.6%","7.9%",1.32,0.37
"Potluck","Immortals","Jungle",4,"0%","50%",3,11,10,1.2,"72.2%","16.7%","15.5%","25%",-221,-15,3.3,5.1,"15.3%",200,"12.3%","16.7%",0.42,0.32
"PowerOfEvil","FlyQuest","Middle",13,"54%","62%",49,27,69,4.4,"67.4%","28.0%","19.9%","31%",-142,69,-1.3,9.7,"30.9%",531,"29.5%","26.9%",0.48,0.2
"Ruin","Counter Logic Gaming","Top",11,"36%","55%",27,35,42,2,"59.0%","23.1%","24.5%","9%",-46,-52,2.2,7.7,"23.7%",417,"23.9%","22.5%",0.45,0.18
"Ryoma","100 Thieves","Middle",13,"38%","54%",43,34,68,3.3,"72.5%","28.1%","21.8%","38%",-68,-81,-4.2,9,"26.8%",515,"26.0%","24.8%",0.42,0.15
"Santorin","FlyQuest","Jungle",13,"54%","38%",38,26,101,5.3,"79.4%","21.7%","19.1%","62%",71,-93,-3.3,5.6,"15.4%",275,"15.2%","17.6%",0.34,0.49
"Smoothie","Counter Logic Gaming","Support",13,"38%","38%",7,33,94,3.1,"71.6%","5.0%","19.4%","23%",-7,3,0.5,0.9,"2.4%",119,"6.7%","7.8%",1.58,0.29
"sOAZ","Immortals","Top",4,"0%","50%",2,15,6,0.5,"44.4%","11.1%","21.1%","0%",-729,-98,-10.5,7.1,"22.8%",484,"30.1%","21.5%",0.46,0.13
"Solo","FlyQuest","Top",13,"54%","46%",28,35,76,3,"59.4%","16.0%","25.7%","31%",285,260,5.8,7.8,"22.7%",358,"20.3%","22.4%",0.37,0.19
"Spica","Team SoloMid","Jungle",12,"58%","58%",26,33,72,3,"71.0%","18.8%","24.6%","33%",-18,-115,-4.2,5.1,"14.2%",221,"12.6%","17.1%",0.38,0.35
"Ssumday","100 Thieves","Top",13,"38%","69%",38,19,49,4.6,"56.9%","24.8%","12.2%","23%",146,169,0.5,8.5,"28.0%",486,"24.5%","24.3%",0.46,0.28
"Stixxay","Counter Logic Gaming","ADC",13,"38%","77%",46,23,56,4.4,"72.3%","32.6%","13.5%","15%",-38,-112,-2.4,9.6,"32.4%",547,"29.9%","27.4%",0.42,0.28
"Stunt","100 Thieves","Support",6,"17%","33%",1,26,37,1.5,"69.1%","1.8%","28.6%","0%",-18,60,3,1,"2.2%",123,"6.8%","7.5%",1.31,0.24
"Svenskeren","Evil Geniuses","Jungle",13,"54%","54%",16,40,77,2.3,"64.1%","11.0%","25.5%","46%",-185,7,-2,5.3,"15.8%",215,"11.5%","16.7%",0.32,0.47
"Tactical","Team Liquid","ADC",13,"77%","54%",49,16,53,6.4,"70.3%","33.8%","15.0%","31%",67,150,-1.9,9.8,"31.1%",532,"31.1%","27.6%",0.48,0.3
"Treatz","Team SoloMid","Support",2,"50%","100%",0,3,8,2.7,"66.7%","0.0%","15.0%","0%",-189,229,-1.5,1,"2.0%",128,"8.2%","7.8%",1.48,0.35
"V1per","Dignitas","Top",6,"17%","33%",7,17,17,1.4,"66.7%","19.4%","26.2%","33%",-429,-543,-12.5,7.4,"23.0%",264,"17.2%","21.0%",0.45,0.12
"Vulcan","Cloud9","Support",12,"83%","42%",13,11,116,11.7,"71.7%","7.2%","11.7%","17%",-66,27,-3.3,0.8,"1.6%",203,"10.7%","9.9%",1.38,0.23
"Wiggily","Counter Logic Gaming","Jungle",13,"38%","15%",14,30,91,3.5,"74.5%","9.9%","17.6%","31%",-175,-276,-2.9,5,"13.2%",220,"12.1%","15.7%",0.35,0.43
"WildTurtle","FlyQuest","ADC",5,"60%","40%",17,6,20,6.2,"69.8%","32.1%","14.0%","40%",52,72,-5.2,9.3,"29.3%",454,"27.2%","25.8%",0.33,0.22
"Xmithie","Immortals","Jungle",9,"33%","78%",19,25,39,2.3,"68.2%","22.4%","22.9%","33%",-96,-110,-2,5.8,"18.7%",264,"14.9%","18.5%",0.36,0.48
"Zeyzal","Evil Geniuses","Support",13,"54%","54%",13,25,85,3.9,"67.6%","9.0%","15.9%","23%",16,-6,1.2,0.9,"2.3%",199,"10.7%","8.9%",1.44,0.22
"Zven","Cloud9","ADC",12,"83%","50%",48,12,65,9.4,"62.8%","26.7%","12.8%","17%",-158,-164,-0.4,9.8,"31.5%",449,"23.3%","25.5%",0.42,0.26